candidate	workload	session	block_order_seed	cross_cell_seed	block	condition	order_in_block	process_interval_seconds	work_time_seconds	exit_code	behavior_ok	coverage_artifact_ok	timed_out	import_exit_code	import_timed_out	timestamp
nano-coverage	w01	0	1256251287	879027436	2	B0	0	1.7471		0	True		False	0	False	1789936507.883
nano-coverage	w01	0	1256251287	879027436	2	C	1	1.7594		0	True	True	False	0	False	1789936512.914
gd-tools	w11	0	2879191030	879027436	2	B1	0	5.2945	1.774890	0	True		False	0	False	1789936522.983
gd-tools	w11	0	2879191030	879027436	2	B0	1	5.1976	1.706703	0	True		False	0	False	1789936533.025
gd-tools	w11	0	2879191030	879027436	2	C	2	11.4730	7.813158	0	True	True	False	0	False	1789936549.258
nano-coverage	w05	0	746166457	879027436	2	B0	0	3.6649	1.923116	0	True		False	0	False	1789936555.542
nano-coverage	w05	0	746166457	879027436	2	C	1	7.5552	5.685738	0	True	True	False	0	False	1789936566.374
gd-tools	w01	0	3544489267	879027436	2	B0	0	3.2642		0	True		False	0	False	1789936572.069
gd-tools	w01	0	3544489267	879027436	2	B1	1	3.2443		0	True		False	0	False	1789936577.743
gd-tools	w01	0	3544489267	879027436	2	C	2	3.4000		0	True	True	False	0	False	1789936583.482
nano-coverage	w11	0	75405259	879027436	3	C	0	8.5859	6.527866	0	True	True	False	0	False	1789936597.772
nano-coverage	w11	0	75405259	879027436	3	B0	1	3.6432	1.730168	0	True		False	0	False	1789936606.437
gd-tools	w03	0	2119882653	879027436	3	B1	0	5.1974	1.937242	0	True		False	0	False	1789936615.823
gd-tools	w03	0	2119882653	879027436	3	B0	1	5.1072	1.946813	0	True		False	0	False	1789936625.004
gd-tools	w03	0	2119882653	879027436	3	C	2	27.6905	24.314586	0	True	True	False	0	False	1789936656.809
gd-tools	w05	0	4277048794	879027436	3	B1	0	5.2003	1.921421	0	True		False	0	False	1789936664.360
gd-tools	w05	0	4277048794	879027436	3	C	1	5.5624	2.049436	0	True	True	False	0	False	1789936672.261
gd-tools	w05	0	4277048794	879027436	3	B0	2	5.2153	1.942071	0	True		False	0	False	1789936679.815
nano-coverage	w03	0	3427911301	879027436	3	C	0	21.3003	19.596565	0	True	True	False	0	False	1789936706.139
nano-coverage	w03	0	3427911301	879027436	3	B0	1	3.5355	1.930393	0	True		False	0	False	1789936714.056
nano-coverage	w01	0	1256251287	879027436	3	C	0	1.8598		0	True	True	False	0	False	1789936719.202
nano-coverage	w01	0	1256251287	879027436	3	B0	1	1.7201		0	True		False	0	False	1789936723.544
gd-tools	w11	0	2879191030	879027436	3	C	0	11.3998	7.713869	0	True	True	False	0	False	1789936739.776
gd-tools	w11	0	2879191030	879027436	3	B0	1	5.2170	1.718634	0	True		False	0	False	1789936749.721
gd-tools	w11	0	2879191030	879027436	3	B1	2	5.2505	1.707501	0	True		False	0	False	1789936759.744
nano-coverage	w05	0	746166457	879027436	3	B0	0	3.6666	1.915284	0	True		False	0	False	1789936766.028
nano-coverage	w05	0	746166457	879027436	3	C	1	7.4374	5.599376	0	True	True	False	0	False	1789936776.742
gd-tools	w01	0	3544489267	879027436	3	C	0	3.3895		0	True	True	False	0	False	1789936782.565
gd-tools	w01	0	3544489267	879027436	3	B1	1	3.2508		0	True		False	0	False	1789936788.159
gd-tools	w01	0	3544489267	879027436	3	B0	2	3.2444		0	True		False	0	False	1789936793.742
nano-coverage	w11	0	75405259	879027436	4	C	0	8.4657	6.393816	0	True	True	False	0	False	1789936807.904
nano-coverage	w11	0	75405259	879027436	4	B0	1	3.6601	1.717470	0	True		False	0	False	1789936816.598
gd-tools	w03	0	2119882653	879027436	4	C	0	27.3976	24.059643	0	True	True	False	0	False	1789936848.219
gd-tools	w03	0	2119882653	879027436	4	B0	1	5.0171	1.907758	0	True		False	0	False	1789936857.366
gd-tools	w03	0	2119882653	879027436	4	B1	2	5.0340	1.897182	0	True		False	0	False	1789936866.496
gd-tools	w05	0	4277048794	879027436	4	C	0	5.4407	2.048072	0	True	True	False	0	False	1789936874.272
gd-tools	w05	0	4277048794	879027436	4	B0	1	5.2156	1.933241	0	True		False	0	False	1789936881.822
gd-tools	w05	0	4277048794	879027436	4	B1	2	5.2033	1.951615	0	True		False	0	False	1789936889.364
nano-coverage	w03	0	3427911301	879027436	4	B0	0	3.6460	1.967757	0	True		False	0	False	1789936897.430
nano-coverage	w03	0	3427911301	879027436	4	C	1	21.6730	19.954612	0	True	True	False	0	False	1789936924.168
nano-coverage	w01	0	1256251287	879027436	4	C	0	1.7709		0	True	True	False	0	False	1789936929.222
nano-coverage	w01	0	1256251287	879027436	4	B0	1	1.6764		0	True		False	0	False	1789936933.526
gd-tools	w11	0	2879191030	879027436	4	B0	0	5.2186	1.744397	0	True		False	0	False	1789936943.513
gd-tools	w11	0	2879191030	879027436	4	B1	1	5.2219	1.729877	0	True		False	0	False	1789936953.569
gd-tools	w11	0	2879191030	879027436	4	C	2	11.6046	7.918185	0	True	True	False	0	False	1789936969.929
nano-coverage	w05	0	746166457	879027436	4	B0	0	3.7306	1.947673	0	True		False	0	False	1789936976.285
nano-coverage	w05	0	746166457	879027436	4	C	1	7.6441	5.812064	0	True	True	False	0	False	1789936987.205
gd-tools	w01	0	3544489267	879027436	4	B0	0	3.2736		0	True		False	0	False	1789936992.909
gd-tools	w01	0	3544489267	879027436	4	C	1	3.3908		0	True	True	False	0	False	1789936998.633
gd-tools	w01	0	3544489267	879027436	4	B1	2	3.2522		0	True		False	0	False	1789937004.239
nano-coverage	w11	0	75405259	879027436	5	C	0	8.4980	6.468659	0	True	True	False	0	False	1789937018.442
nano-coverage	w11	0	75405259	879027436	5	B0	1	3.6723	1.744531	0	True		False	0	False	1789937027.139
gd-tools	w03	0	2119882653	879027436	5	B0	0	5.0123	1.928096	0	True		False	0	False	1789937036.257
gd-tools	w03	0	2119882653	879027436	5	C	1	27.2967	23.871293	0	True	True	False	0	False	1789937067.667
gd-tools	w03	0	2119882653	879027436	5	B1	2	5.1085	1.946645	0	True		False	0	False	1789937076.849
gd-tools	w05	0	4277048794	879027436	5	B1	0	5.1985	1.909147	0	True		False	0	False	1789937084.385
gd-tools	w05	0	4277048794	879027436	5	B0	1	5.2140	1.901579	0	True		False	0	False	1789937091.937
gd-tools	w05	0	4277048794	879027436	5	C	2	5.4354	1.999246	0	True	True	False	0	False	1789937099.712
nano-coverage	w03	0	3427911301	879027436	5	B0	0	3.6307	1.954261	0	True		False	0	False	1789937107.713
nano-coverage	w03	0	3427911301	879027436	5	C	1	20.2576	18.515305	0	True	True	False	0	False	1789937133.033
nano-coverage	w01	0	1256251287	879027436	5	B0	0	1.7715		0	True		False	0	False	1789937137.424
nano-coverage	w01	0	1256251287	879027436	5	C	1	1.8135		0	True	True	False	0	False	1789937142.512
gd-tools	w11	0	2879191030	879027436	5	B0	0	5.1453	1.690682	0	True		False	0	False	1789937152.402
gd-tools	w11	0	2879191030	879027436	5	C	1	11.5109	7.795545	0	True	True	False	0	False	1789937168.657
gd-tools	w11	0	2879191030	879027436	5	B1	2	5.2092	1.704457	0	True		False	0	False	1789937178.625
nano-coverage	w05	0	746166457	879027436	5	C	0	7.4932	5.638701	0	True	True	False	0	False	1789937189.398
nano-coverage	w05	0	746166457	879027436	5	B0	1	3.6613	1.925396	0	True		False	0	False	1789937195.676
gd-tools	w01	0	3544489267	879027436	5	B1	0	3.2469		0	True		False	0	False	1789937201.355
gd-tools	w01	0	3544489267	879027436	5	C	1	3.3973		0	True	True	False	0	False	1789937207.089
gd-tools	w01	0	3544489267	879027436	5	B0	2	3.2467		0	True		False	0	False	1789937212.669
nano-coverage	w03	1	3162290442	4025488379	0	C	0	21.8155	20.122655	0	True	True	False	0	False	1789937299.640
nano-coverage	w03	1	3162290442	4025488379	0	B0	1	3.5793	1.967793	0	True		False	0	False	1789937307.649
nano-coverage	w11	1	3144993598	4025488379	0	C	0	8.3743	6.320264	0	True	True	False	0	False	1789937321.714
