candidate	workload	session	session_seed	block	condition	order_in_block	process_interval_seconds	exit_code	behavior_ok	coverage_artifact_ok	timed_out	timestamp
gd-tools	w05	0	3921868675	2	C	0	4.2635	0	True	True	False	1789889845.239
gd-tools	w05	0	3921868675	2	B1	1	3.9948	0	True		False	1789889851.754
gd-tools	w05	0	3921868675	2	B0	2	4.0995	0	True		False	1789889858.281
gd-tools	w05	0	3921868675	3	B0	0	4.0221	0	True		False	1789889864.735
gd-tools	w05	0	3921868675	3	C	1	4.2388	0	True	True	False	1789889871.406
gd-tools	w05	0	3921868675	3	B1	2	4.1002	0	True		False	1789889878.030
gd-tools	w05	0	3921868675	4	C	0	4.2909	0	True	True	False	1789889884.753
gd-tools	w05	0	3921868675	4	B1	1	4.1995	0	True		False	1789889891.381
gd-tools	w05	0	3921868675	4	B0	2	4.1139	0	True		False	1789889897.927
gd-tools	w05	1	9621645	0	C	0	4.2646	0	True	True	False	1789889904.621
gd-tools	w05	1	9621645	0	B0	1	4.3309	0	True		False	1789889911.494
gd-tools	w05	1	9621645	0	B1	2	4.2513	0	True		False	1789889918.279
gd-tools	w05	1	9621645	1	B0	0	4.3144	0	True		False	1789889925.213
gd-tools	w05	1	9621645	1	C	1	4.4732	0	True	True	False	1789889932.320
gd-tools	w05	1	9621645	1	B1	2	4.3047	0	True		False	1789889939.262
gd-tools	w05	1	9621645	2	B1	0	4.3147	0	True		False	1789889946.197
gd-tools	w05	1	9621645	2	B0	1	4.3175	0	True		False	1789889953.137
gd-tools	w05	1	9621645	2	C	2	4.5570	0	True	True	False	1789889960.315
gd-tools	w05	1	9621645	3	B0	0	4.5140	0	True		False	1789889967.456
gd-tools	w05	1	9621645	3	B1	1	4.5218	0	True		False	1789889974.606
gd-tools	w05	1	9621645	3	C	2	4.6109	0	True	True	False	1789889981.938
gd-tools	w05	1	9621645	4	B1	0	4.3046	0	True		False	1789889988.866
gd-tools	w05	1	9621645	4	B0	1	4.4101	0	True		False	1789889995.897
gd-tools	w05	1	9621645	4	C	2	4.4300	0	True	True	False	1789890002.848
gd-tools	w11	0	336527987	0	B0	0	3.5348	0	True		False	1789890008.901
gd-tools	w11	0	336527987	0	C	1	5.9722	0	True	True	False	1789890017.399
gd-tools	w11	0	336527987	0	B1	2	3.6462	0	True		False	1789890023.567
gd-tools	w11	0	336527987	1	C	0	5.8515	0	True	True	False	1789890032.041
gd-tools	w11	0	336527987	1	B0	1	3.7450	0	True		False	1789890038.312
